Time [s],Channel 0
12.412565120,1
12.412566080,0
12.413039200,1
12.414298240,0
12.414300160,1
12.414301440,0
12.414303680,1
12.414304640,0
12.414750880,1
12.415982560,0
12.415984640,1
12.415985760,0
12.416462400,1
12.417694240,0
12.417696320,1
12.417697440,0
12.418177120,1
12.418536800,0
12.418538720,1
12.418540000,0
12.418542720,1
12.418543360,0
12.419016320,1
12.419379200,0
12.419381120,1
12.419382400,0
12.419384800,1
12.419385600,0
12.419858560,1
12.420221440,0
12.420223520,1
12.420224800,0
12.420227040,1
12.420228000,0
12.420700960,1
12.421063840,0
12.421065760,1
12.421067040,0
12.421069440,1
12.421070240,0
12.421543520,1
12.421906080,0
12.421908160,1
12.421909280,0
12.421911680,1
12.421912480,0
12.422385440,1
12.422748320,0
12.422750400,1
12.422751520,0
12.422753760,1
12.422754720,0
12.423228000,1
12.423590560,0
12.423592640,1
12.423593760,0
12.423596160,1
12.423597120,0
12.424069920,1
12.424432800,0
12.424434880,1
12.424436000,0
12.424438400,1
12.424439360,0
12.424912160,1
12.425275040,0
12.425277120,1
12.425278240,0
12.425280640,1
12.425281600,0
12.425754400,1
12.426117280,0
12.426119360,1
12.426120480,0
12.426122880,1
12.426123680,0
12.426596640,1
12.426959360,0
12.426961440,1
12.426962720,0
12.426964960,1
12.426965920,0
12.427438720,1
12.427801760,0
12.427803680,1
12.427804960,0
12.427807200,1
12.427808160,0
12.428281120,1
12.428644000,0
12.428645920,1
12.428647200,0
12.428649440,1
12.428650400,0
12.429123360,1
12.429486080,0
12.429488160,1
12.429489280,0
12.429491680,1
12.429492640,0
12.429965440,1
12.430328320,0
12.430330400,1
12.430331520,0
12.430333920,1
12.430334880,0
12.430807680,1
12.431170560,0
12.431172640,1
12.431173760,0
12.431176160,1
12.431177120,0
12.431650240,1
12.432908960,0
12.432911040,1
12.432912160,0
12.432914560,1
12.432915520,0
12.433361760,1
12.433724160,0
12.433726080,1
12.433727360,0
12.433729760,1
12.433730560,0
12.434203520,1
12.435462560,0
12.435464480,1
12.435465760,0
12.435468320,1
12.435469120,0
12.435920160,1
12.436277600,0
12.436279680,1
12.436280960,0
12.436283200,1
12.436284160,0
12.436757600,1
12.437119840,0
12.437121920,1
12.437123040,0
12.437125600,1
12.437126400,0
12.437599200,1
12.437962080,0
12.437964160,1
12.437965280,0
12.437967680,1
12.437968640,0
12.438441920,1
12.439700800,0
12.439702880,1
12.439704000,0
12.439706400,1
12.439707360,0
12.440153440,1
12.441384960,0
12.441387040,1
12.441388160,0
12.441864640,1
12.442227680,0
12.442229760,1
12.442230880,0
12.442233280,1
12.442234240,0
12.442707360,1
12.443070080,0
12.443072160,1
12.443073440,0
12.443075680,1
12.443076640,0
12.443549600,1
12.443912480,0
12.443914560,1
12.443915840,0
12.443918080,1
12.443919040,0
12.444392000,1
12.444754880,0
12.444756960,1
12.444758080,0
12.444760480,1
12.444761440,0
12.445234240,1
12.445597120,0
12.445599200,1
12.445600320,0
12.445602560,1
